Organism,Speed,x,y
Ovobacter propellens,1000,215140.8293938736,-165748.37243172686
Ovobacter propellens,1000,-280665.91614603164,195883.40479993678
Ovobacter propellens,1000,-97407.2450782811,-29882.396859959426
Ovobacter propellens,1000,-233472.56174769468,116028.40266332909
Ovobacter propellens,1000,7951.745598439607,-129720.01507794329
Ovobacter propellens,1000,-52754.24902239649,73957.9620013139
Ovobacter propellens,1000,-82803.32676270191,-73541.33263141658
Ovobacter propellens,1000,-95138.73567929569,184545.5059448176
Ovobacter propellens,1000,-109817.64442314827,23365.638712646065
Ovobacter propellens,1000,-14267.603082471123,35892.57754697607
Ovobacter propellens,1000,149142.09317998268,-133752.340687114
Ovobacter propellens,1000,7502.749827744931,-30283.47614291615
Ovobacter propellens,1000,140199.2797524859,-119619.87909139378
Ovobacter propellens,1000,-262196.1022180983,112280.87690146628
Ovobacter propellens,1000,80894.31548166905,24183.610800958195
Ovobacter propellens,1000,242209.69167454785,-74558.00503036649
Ovobacter propellens,1000,-241656.08567793827,67706.13353690016
Ovobacter propellens,1000,-83449.03459381929,112307.23959556987
Ovobacter propellens,1000,167139.59773638585,-43106.603926722004
Ovobacter propellens,1000,2323.9723480790526,138693.3164931448
Ovobacter propellens,1000,39745.21981649649,141808.4912888988
Ovobacter propellens,1000,-54267.18456351556,-105015.96285977216
Ovobacter propellens,1000,-126753.20265505023,47947.2257655112
Ovobacter propellens,1000,114872.33293599986,81467.75409963157
Ovobacter propellens,1000,37303.70392104718,117110.14049211956
Ovobacter propellens,1000,111883.62737634729,52081.38346431375
Ovobacter propellens,1000,-31107.05335639865,93213.56771002096
Ovobacter propellens,1000,80960.97655648479,134342.0996042552
Ovobacter propellens,1000,107814.37329227861,-248940.54097259048
Ovobacter propellens,1000,-23239.54268863514,130471.01849675018
Ovobacter propellens,1000,-42524.739851090366,-45362.257613125104
Ovobacter propellens,1000,-170898.39737182384,176449.1169265749
Ovobacter propellens,1000,-128527.8252012454,181981.57348999273
Ovobacter propellens,1000,-37246.73688602622,87920.82749523525
Ovobacter propellens,1000,42182.14146328825,-34114.6497287782
Ovobacter propellens,1000,94152.97977792037,109410.96449506782
Ovobacter propellens,1000,-107353.77480338745,-161167.09588605686
Ovobacter propellens,1000,-6962.752910601153,-33628.5035163445
Ovobacter propellens,1000,-6158.759320056386,-253045.95664594747
Ovobacter propellens,1000,-108288.67204956851,27300.527986545632
Ovobacter propellens,1000,179218.33406420777,242338.00627548122
Ovobacter propellens,1000,-50324.07871586612,-95322.44671038381
Ovobacter propellens,1000,-142429.8170879598,-17193.28035348186
Ovobacter propellens,1000,-56798.12024552723,14937.111690122483
Ovobacter propellens,1000,159941.0818209208,22181.36484163
Ovobacter propellens,1000,126778.60241850246,-109650.70304666887
Ovobacter propellens,1000,-89164.45571332955,-25940.247483901734
Ovobacter propellens,1000,-240534.05638251576,48876.37722922175
Ovobacter propellens,1000,111387.16440747923,-29320.59143489498
Ovobacter propellens,1000,67790.45286380693,37698.51183401167
Ovobacter propellens,1000,-139479.7766395275,48240.73044776366
Ovobacter propellens,1000,42227.46643049917,160626.69298036862
Ovobacter propellens,1000,79849.10997013422,178996.14713188307
Ovobacter propellens,1000,-188526.47275531854,-40100.017140852564
Ovobacter propellens,1000,63925.641401068126,26239.472432189003
Ovobacter propellens,1000,79335.17694660243,-44791.19978908448
Ovobacter propellens,1000,191313.0633340471,-21962.933913605204
Ovobacter propellens,1000,95769.76856469251,-79298.57013433763
Ovobacter propellens,1000,78464.64544638163,165800.35698031003
Ovobacter propellens,1000,-254198.23633981598,195243.5597824673
Ovobacter propellens,1000,71118.41240291228,110403.41179211086
Ovobacter propellens,1000,-23728.964231723705,-50709.80209538829
Ovobacter propellens,1000,-32609.440831719003,-31664.751547942225
Ovobacter propellens,1000,63958.10387347428,-143503.22682367548
Ovobacter propellens,1000,6214.083273885339,27370.072057373618
Ovobacter propellens,1000,-206471.73957262776,-35582.80728593645
Ovobacter propellens,1000,-2235.7981310026935,-135169.29226372417
Ovobacter propellens,1000,-36067.736046214435,50752.048298406495
Ovobacter propellens,1000,-146533.97925440062,13696.908159841763
Ovobacter propellens,1000,-47361.947141409866,32379.977299643346
Ovobacter propellens,1000,-25546.35567459432,133720.1852283661
Ovobacter propellens,1000,-133263.80003104758,8883.562782540237
Ovobacter propellens,1000,-90163.99789851705,194058.66459309266
Ovobacter propellens,1000,-16088.118325203737,-67682.81166904331
Ovobacter propellens,1000,-19296.635614060895,-80088.46520712852
Ovobacter propellens,1000,-48783.05992272151,-157491.3120775152
Ovobacter propellens,1000,53221.06837702997,-73054.2466098231
Ovobacter propellens,1000,-76039.66680168505,141845.59890718
Ovobacter propellens,1000,85643.05835623313,-97158.46119553217
Ovobacter propellens,1000,-72333.85950225043,-185981.74393164268
Ovobacter propellens,1000,-88824.91466010569,138664.9927500148
Ovobacter propellens,1000,26035.392218214765,24866.489186580555
Ovobacter propellens,1000,147107.66708048116,52694.70676736915
Ovobacter propellens,1000,-2227.0029996385547,-68274.58607860804
Ovobacter propellens,1000,-160837.55414475792,123335.18210403566
Ovobacter propellens,1000,-119280.64272264176,-260531.97981192375
Ovobacter propellens,1000,-63541.920871927294,97191.15364034538
Ovobacter propellens,1000,-56601.62451263051,23347.40235363908
Ovobacter propellens,1000,37538.322636737495,-170232.14671756842
Ovobacter propellens,1000,12700.984911665135,-131933.83183983338
Ovobacter propellens,1000,35541.79752684976,23316.913550061698
Ovobacter propellens,1000,-175611.79011844654,49718.06991762373
Ovobacter propellens,1000,-180709.51566788447,111648.35314934865
Ovobacter propellens,1000,-185875.1552253717,21852.878808423116
Ovobacter propellens,1000,-12499.498571991238,31842.442233897968
Ovobacter propellens,1000,-137804.57850522356,-69025.5823688643
Ovobacter propellens,1000,-62736.812946570215,27448.76204982931
Ovobacter propellens,1000,40796.5257175014,-12766.786026636684
Ovobacter propellens,1000,-41627.46491406064,155779.3713248255
Ovobacter propellens,1000,-79795.9332196426,132426.80761227006
Ovobacter propellens,1000,27263.64777893577,85635.81905423597
Ovobacter propellens,1000,-61304.12720635364,95161.12479075526
Ovobacter propellens,1000,-115337.619984633,-112467.66954895075
