Organism,Speed,x,y
Ovobacter propellens,1000,43113885.57728962,0
Ovobacter propellens,1000,43167778.59025681,0
Ovobacter propellens,1000,43205524.4977735,0
Ovobacter propellens,1000,43195004.48936992,0
Ovobacter propellens,1000,43077090.81757278,0
Ovobacter propellens,1000,43263354.374621525,0
Ovobacter propellens,1000,43125880.930070065,0
Ovobacter propellens,1000,43261964.45898921,0
Ovobacter propellens,1000,43161515.32692299,0
Ovobacter propellens,1000,43280751.85849005,0
Ovobacter propellens,1000,43273535.61256849,0
Ovobacter propellens,1000,43335002.91740824,0
Ovobacter propellens,1000,43109938.38538765,0
Ovobacter propellens,1000,43219182.22810421,0
Ovobacter propellens,1000,43249209.06493184,0
Ovobacter propellens,1000,43207398.89907371,0
Ovobacter propellens,1000,43139572.06341298,0
Ovobacter propellens,1000,43233193.61562538,0
Ovobacter propellens,1000,43104873.35841428,0
Ovobacter propellens,1000,43321856.31384142,0
Ovobacter propellens,1000,43236515.928509645,0
Ovobacter propellens,1000,43298496.8380318,0
Ovobacter propellens,1000,43152411.86771705,0
Ovobacter propellens,1000,43140084.13789724,0
Ovobacter propellens,1000,43150361.94623308,0
Ovobacter propellens,1000,43186789.180445485,0
Ovobacter propellens,1000,43265493.59938339,0
Ovobacter propellens,1000,43299822.23681104,0
Ovobacter propellens,1000,43282202.02079183,0
Ovobacter propellens,1000,43116825.84341988,0
Ovobacter propellens,1000,42998992.31711729,0
Ovobacter propellens,1000,43168461.388026364,0
Ovobacter propellens,1000,43198450.69653122,0
Ovobacter propellens,1000,43090553.061058044,0
Ovobacter propellens,1000,43242059.75047453,0
Ovobacter propellens,1000,43287451.49637736,0
Ovobacter propellens,1000,43262830.82905691,0
Ovobacter propellens,1000,43118352.44878917,0
Ovobacter propellens,1000,43310293.77098894,0
Ovobacter propellens,1000,43317599.11963786,0
Ovobacter propellens,1000,43197588.19598262,0
Ovobacter propellens,1000,43071592.63693425,0
Ovobacter propellens,1000,43081810.53360109,0
Ovobacter propellens,1000,43244464.02197331,0
Ovobacter propellens,1000,43149659.667768046,0
Ovobacter propellens,1000,43388687.53519677,0
Ovobacter propellens,1000,43204290.38503603,0
Ovobacter propellens,1000,43143916.407811224,0
Ovobacter propellens,1000,43133609.15454128,0
Ovobacter propellens,1000,43155555.30491541,0
Ovobacter propellens,1000,43388462.53164253,0
Ovobacter propellens,1000,43231441.435610645,0
Ovobacter propellens,1000,43223047.2685264,0
Ovobacter propellens,1000,43259954.60099191,0
Ovobacter propellens,1000,43186881.92479429,0
Ovobacter propellens,1000,43244887.78610178,0
Ovobacter propellens,1000,43173771.014666185,0
Ovobacter propellens,1000,43176195.56255871,0
Ovobacter propellens,1000,43285188.110105924,0
Ovobacter propellens,1000,43170033.9692228,0
Ovobacter propellens,1000,43136357.135871425,0
Ovobacter propellens,1000,43268119.055782676,0
Ovobacter propellens,1000,43099285.87474883,0
Ovobacter propellens,1000,43230033.63790829,0
Ovobacter propellens,1000,43289910.12866865,0
Ovobacter propellens,1000,43122574.70672065,0
Ovobacter propellens,1000,43078604.943079874,0
Ovobacter propellens,1000,43283622.59575259,0
Ovobacter propellens,1000,43228860.62120297,0
Ovobacter propellens,1000,43158862.843250155,0
Ovobacter propellens,1000,43315997.72599456,0
Ovobacter propellens,1000,43157475.08942662,0
Ovobacter propellens,1000,43141437.25911621,0
Ovobacter propellens,1000,43304562.64279364,0
Ovobacter propellens,1000,43269292.08733933,0
Ovobacter propellens,1000,43047789.73758547,0
Ovobacter propellens,1000,43203236.89204036,0
Ovobacter propellens,1000,43081073.1369711,0
Ovobacter propellens,1000,43193744.57631726,0
Ovobacter propellens,1000,43145337.75959723,0
Ovobacter propellens,1000,43033833.40396662,0
Ovobacter propellens,1000,43138307.331296146,0
Ovobacter propellens,1000,43199491.419312775,0
Ovobacter propellens,1000,43189204.0549973,0
Ovobacter propellens,1000,43245101.04712355,0
Ovobacter propellens,1000,43180515.67056543,0
Ovobacter propellens,1000,43300036.4423641,0
Ovobacter propellens,1000,43239376.12848961,0
Ovobacter propellens,1000,43274671.266363,0
Ovobacter propellens,1000,43217844.694518015,0
Ovobacter propellens,1000,43248440.769109175,0
Ovobacter propellens,1000,43202138.54017132,0
Ovobacter propellens,1000,43021084.788496375,0
Ovobacter propellens,1000,43209738.69017907,0
Ovobacter propellens,1000,43179701.20812557,0
Ovobacter propellens,1000,43252493.51077434,0
Ovobacter propellens,1000,43310664.89888378,0
Ovobacter propellens,1000,43100259.9328293,0
Ovobacter propellens,1000,43201360.95204809,0
Ovobacter propellens,1000,43194578.1702674,0
Ovobacter propellens,1000,43242786.16837203,0
Ovobacter propellens,1000,43239758.906896226,0
Ovobacter propellens,1000,43113380.089293934,0
Ovobacter propellens,1000,43134965.00462969,0
Ovobacter propellens,1000,43073505.09707211,0
Ovobacter propellens,1000,43261844.127102755,0
Ovobacter propellens,1000,43292571.5968539,0
Ovobacter propellens,1000,43084761.29164803,0
Ovobacter propellens,1000,43215825.99017047,0
Ovobacter propellens,1000,43160249.14486683,0
Ovobacter propellens,1000,43200402.98707527,0
Ovobacter propellens,1000,43251085.44534445,0
Ovobacter propellens,1000,43258831.040304616,0
Ovobacter propellens,1000,43297556.95168837,0
Ovobacter propellens,1000,43209711.33100009,0
Ovobacter propellens,1000,43213103.926853046,0
Ovobacter propellens,1000,42991582.229372345,0
Ovobacter propellens,1000,43264188.69183608,0
Ovobacter propellens,1000,43038436.74469716,0
Ovobacter propellens,1000,43208698.32741143,0
Ovobacter propellens,1000,43317352.02131234,0
Ovobacter propellens,1000,43130039.06257008,0
Ovobacter propellens,1000,43303570.836633675,0
Ovobacter propellens,1000,43128769.16360995,0
Ovobacter propellens,1000,43103266.4558664,0
Ovobacter propellens,1000,43220156.43510432,0
Ovobacter propellens,1000,43286504.11785348,0
Ovobacter propellens,1000,43261832.89186214,0
Ovobacter propellens,1000,43273294.635307506,0
Ovobacter propellens,1000,43117002.427775644,0
Ovobacter propellens,1000,43290619.59608947,0
Ovobacter propellens,1000,43253878.38594569,0
Ovobacter propellens,1000,43260114.84038364,0
Ovobacter propellens,1000,43143114.15955797,0
Ovobacter propellens,1000,43111454.556441866,0
Ovobacter propellens,1000,43228267.61668618,0
Ovobacter propellens,1000,43218240.025703564,0
Ovobacter propellens,1000,43192824.566867664,0
Ovobacter propellens,1000,43245182.10563972,0
Ovobacter propellens,1000,43239497.61937279,0
Ovobacter propellens,1000,43226276.40617406,0
Ovobacter propellens,1000,43186489.04443882,0
Ovobacter propellens,1000,43088347.4101061,0
Ovobacter propellens,1000,43302842.45239035,0
Ovobacter propellens,1000,43043476.06251435,0
Ovobacter propellens,1000,43131475.77472124,0
Ovobacter propellens,1000,43328762.476592556,0
Ovobacter propellens,1000,43105951.939371645,0
Ovobacter propellens,1000,43198521.23119542,0
Ovobacter propellens,1000,43168675.582071535,0
Ovobacter propellens,1000,43309097.58107364,0
Ovobacter propellens,1000,43161926.00726616,0
Ovobacter propellens,1000,42989488.10745403,0
Ovobacter propellens,1000,42984730.1076781,0
Ovobacter propellens,1000,43034585.332040444,0
Ovobacter propellens,1000,43105676.56074069,0
Ovobacter propellens,1000,43374570.1276483,0
Ovobacter propellens,1000,43189600.735148415,0
Ovobacter propellens,1000,43209826.73182548,0
Ovobacter propellens,1000,43052712.53828937,0
Ovobacter propellens,1000,43286108.48302231,0
Ovobacter propellens,1000,43333734.64174825,0
Ovobacter propellens,1000,43232869.56279026,0
